vegas_team,espn_team,ncaa_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url,espn_logo_url
Duquesne Dukes,Duquesne,Duquesne,2184.0,Duquesne,Duquesne,Duquesne,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Duquesne_Dukes.svg/115px-Duquesne_Dukes.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png
UAB Blazers,UAB,UAB,5.0,UAB,UAB,UAB,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/UAB_Blazers_logo.svg/283px-UAB_Blazers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png
Samford Bulldogs,Samford,Samford,2535.0,Samford,Samford,Samford,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/320px-Samford_Bulldogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png
Morehead St Eagles,Morehead St,Morehead St,2413.0,Morehead State,Morehead St.,Morehead St,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Morehead_State_Eagles_logo.svg/243px-Morehead_State_Eagles_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2413.png
Oakland Golden Grizzlies,Oakland,Oakland,2473.0,Oakland,Oakland,Oakland,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Oakland_Golden_Grizzlies_logo.svg/303px-Oakland_Golden_Grizzlies_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2473.png
Vermont Catamounts,Vermont,Vermont,261.0,Vermont,Vermont,Vermont,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Vermont_Catamounts_logo.svg/246px-Vermont_Catamounts_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/261.png
Akron Zips,Akron,Akron,2006.0,Akron,Akron,Akron,Akron,Akron,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Akron_Zips_logo.svg/200px-Akron_Zips_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png
Long Beach St 49ers,Long Beach St,Long Beach St,299.0,Long Beach State,Long Beach St.,Long Beach St,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Long_Beach_State_Athletics_logo.svg/197px-Long_Beach_State_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/299.png
Grambling St Tigers,Grambling St,Grambling St,2755.0,Grambling State,Grambling,Grambling,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Grambling_State_Tigers_logo.svg/320px-Grambling_State_Tigers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2755.png
Longwood Lancers,Longwood,Longwood,2344.0,Longwood,Longwood,Longwood,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Longwood_Lancers_logo.svg/320px-Longwood_Lancers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2344.png
Stetson Hatters,Stetson,Stetson,56.0,Stetson,Stetson,Stetson,,,https://upload.wikimedia.org/wikipedia/en/1/17/Stetson_Hatters_logo_%282018%29.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/56.png
Wagner Seahawks,Wagner,Wagner,2681.0,Wagner,Wagner,Wagner,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Wagner_Seahawks_logo.svg/320px-Wagner_Seahawks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2681.png
Colgate Raiders,Colgate,Colgate,2142.0,Colgate,Colgate,Colgate,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Colgate_Raiders_logo.svg/189px-Colgate_Raiders_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2142.png
Montana St Bobcats,Montana St,Montana St,147.0,Montana State,Montana St.,Montana St,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Montana_State_Bobcats_logo.svg/320px-Montana_State_Bobcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png
Howard Bison,Howard,Howard,47.0,Howard,Howard,Howard,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Howard_Bison_logo.svg/186px-Howard_Bison_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/47.png
Saint Peter's Peacocks,Saint Peters,Saint Peters,2612.0,St. Peter's,Saint Peter's,St Peter's,,,https://upload.wikimedia.org/wikipedia/en/9/97/Saint_Peter%27s_Peacocks_logo.svg,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2612.png
Western Kentucky Hilltoppers,Western KY,Western KY,98.0,Western Kentucky,Western Ky.,WKU,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/WKU_Athletics_logo.svg/320px-WKU_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png
South Dakota St Jackrabbits,S Dakota St,S Dakota St,2571.0,South Dakota State,South Dakota St.,S Dakota St,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/South_Dakota_State_Jackrabbits_logo.svg/315px-South_Dakota_State_Jackrabbits_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2571.png
Missouri Tigers,Missouri,Missouri,,Missouri,,,Missouri,Missouri,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Missouri_Tigers_logo.svg/315px-Missouri_Tigers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png
Bryant Bulldogs,Bryant,Bryant,,Bryant,,,Bryant,Bryant,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bryant_Bulldogs_logo.svg/296px-Bryant_Bulldogs_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2803.png
High Point Panthers,High Point,High Point,,High Point,,,High Point,High Point,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/High_Point_Panthers_logo.svg/320px-High_Point_Panthers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2272.png
Liberty Flames,Liberty,Liberty,,Liberty,,,Liberty,Liberty,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/266px-Liberty_Flames_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2335.png
Lipscomb Bisons,Lipscomb,Lipscomb,,Lipscomb,,,Lipscomb,Lipscomb,https://upload.wikimedia.org/wikipedia/commons/1/1c/Lipscomb_L.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/288.png
Montana Grizzlies,Montana,Montana,,Montana,,,Montana,Montana,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Montana_Griz_logo.svg/320px-Montana_Griz_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/149.png
Mt. St. Mary's Mountaineers,Mount St. Mary's,Mount St. Mary's,,Mount St. Mary's (MD),,,Mount St. Mary's,Mount St. Mary's,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Mount_St._Mary%27s_Mountaineers_logo.svg/320px-Mount_St._Mary%27s_Mountaineers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/116.png
UNC Wilmington Seahawks,UNC Wilmington,UNC Wilmington,,UNC Wilmington,,,UNC Wilmington,UNC Wilmington,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/UNC_Wilmington_Seahawks_logo.svg/211px-UNC_Wilmington_Seahawks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/350.png
Omaha Mavericks,Nebraska Omaha,Nebraska Omaha,,Omaha,,,Nebraska Omaha,Nebraska Omaha,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Omaha_Mavericks_logo.svg/246px-Omaha_Mavericks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2437.png
Norfolk St Spartans,Norfolk St.,Norfolk St.,,Norfolk St.,,,Norfolk St.,Norfolk St.,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Norfork_State_Spartans_logo.svg/240px-Norfork_State_Spartans_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png
Robert Morris Colonials,Robert Morris,Robert Morris,,Robert Morris,,,Robert Morris,Robert Morris,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Robert_Morris_Colonials_logo.svg/208px-Robert_Morris_Colonials_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png
SIU-Edwardsville Cougars,SIUE,SIUE,,SIU Edwardsville,,,SIUE,SIUE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/SIUE_Cougars_logo.svg/400px-SIUE_Cougars_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2565.png
St. Francis (PA) Red Flash,Saint Francis,Saint Francis,,Saint Francis (PA),,,Saint Francis,Saint Francis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint_Francis_Red_Flash_logo.svg/320px-Saint_Francis_Red_Flash_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2598.png
Troy Trojans,Troy,Troy,,Troy,,,Troy,Troy,https://upload.wikimedia.org/wikipedia/commons/3/34/Troy_Trojans_logo.svg,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png
Wofford Terriers,Wofford,Wofford,,Wofford,,,Wofford,Wofford,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Wofford_Terriers_logo.svg/217px-Wofford_Terriers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png
Vanderbilt Commodores,Vanderbilt,Vanderbilt,,Vanderbilt,,,Vanderbilt,Vanderbilt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Vanderbilt_Commodores_logo.svg/246px-Vanderbilt_Commodores_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png
UC San Diego Tritons,UC San Diego,UC San Diego,,UC San Diego,,,UC San Diego,UC San Diego,https://ucsdtritons.com/images/logos/site/site.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/28.png
Alabama St Hornets,Alabama St.,Alabama St.,,Alabama St.,,,Alabama St.,Alabama St.,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/320px-Alabama_State_Hornets_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2011.png
American Eagles,American,American,,American,,,American,American,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/240px-American_Eagles_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/44.png
Louisville Cardinals,Louisville,Louisville,,Louisville,,,Louisville,Louisville,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/218px-Louisville_Cardinals_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png
Michigan Wolverines,Michigan,Michigan,,Michigan,,,Michigan,Michigan,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png
Indiana Hoosiers,Indiana,Indiana,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png
Saint Louis Billikens,Saint Louis,Saint Louis,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/139.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/139.png
West Virginia Mountaineers,West Virginia,West Virginia,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png
Santa Clara Broncos,Santa Clara,Santa Clara,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png
Miami (OH) RedHawks,Miami (OH),Miami (OH),,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png
Northern Iowa Panthers,Northern Iowa,Northern Iowa,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2460.png
Hofstra Pride,Hofstra,Hofstra,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2275.png
Tennessee St Tigers,Tennessee State,Tennessee State,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2634.png
LIU Sharks,LIU,LIU,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png
Queens University Royals,Queens,Queens,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2511.png
Furman Paladins,Furman,Furman,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png
Wright St Raiders,Wright State,Wright State,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2750.png
Siena Saints,Siena,Siena,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2561.png
Prairie View Panthers,Prairie View,Prairie View,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2504.png
Kennesaw St Owls,Kennesaw State,Kennesaw State,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/338.png
